sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-16 11:09:57 +0000,2022-10-17 16:07:29 +0000,momentaryLimit,5155.06 s,94.4621 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-17 16:07:29 +0000,2022-10-20 13:17:56 +0000,momentaryLimit,7730.12 s,92.7033 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-20 13:17:56 +0000,2022-10-26 09:09:15 +0000,momentaryLimit,12420.3 s,90.6917 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-26 09:09:15 +0000,2022-10-28 14:50:33 +0000,momentaryLimit,7041.5 s,93.1099 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-28 14:50:33 +0000,2022-11-01 09:09:03 +0000,momentaryLimit,7719.82 s,92.7227 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-11-01 09:09:03 +0000,2022-11-04 05:24:35 +0000,momentaryLimit,6416.87 s,93.513 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-11-04 05:24:35 +0000,2022-11-05 15:41:15 +0000,momentaryLimit,6376.6 s,93.5378 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-11-05 15:41:15 +0000,2022-11-07 19:30:58 +0000,momentaryLimit,8452.17 s,92.3145 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-11-18 15:41:06 +0000,2022-11-25 15:43:17 +0000,momentaryLimit,9733.97 s,91.705 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-11-25 15:43:17 +0000,2022-11-30 11:28:32 +0000,momentaryLimit,15662.7 s,89.638 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-11-30 11:28:32 +0000,2022-12-01 10:37:42 +0000,momentaryLimit,5264.89 s,94.373 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-12-01 10:37:42 +0000,2022-12-05 16:17:15 +0000,momentaryLimit,9296.71 s,91.9006 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-12-05 16:17:15 +0000,2022-12-11 13:29:44 +0000,momentaryLimit,7473.05 s,92.8513 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-12-11 13:29:44 +0000,2022-12-14 07:23:14 +0000,momentaryLimit,8353.73 s,92.3665 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-12-14 07:23:14 +0000,2022-12-16 16:06:50 +0000,momentaryLimit,7102.24 s,93.1163 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2022-12-16 16:06:50 +0000,2022-12-23 13:54:04 +0000,momentaryLimit,16827.6 s,89.3243 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-01-17 11:28:43 +0000,2023-01-24 11:31:29 +0000,momentaryLimit,9583.18 s,91.7696 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-01-24 11:31:29 +0000,2023-01-26 09:55:02 +0000,momentaryLimit,8955.64 s,92.0629 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-01-26 09:55:02 +0000,2023-01-29 14:58:26 +0000,momentaryLimit,10647.4 s,91.3377 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-01-29 14:58:26 +0000,2023-02-02 16:19:04 +0000,momentaryLimit,5616.82 s,94.0897 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-02 16:19:04 +0000,2023-02-03 10:53:10 +0000,momentaryLimit,5987.11 s,93.8132 dBASPL
